Interface                      Status         Protocol           Description
Et1                            up             up                 MLAG_PEER_s1-leaf1_Ethernet1
Et2                            up             up                 P2P_LINK_TO_S1-SPINE1_Ethernet3
Et3                            up             up                 P2P_LINK_TO_S1-SPINE2_Ethernet3
Et4                            up             up                 Leaf2_Access_eth4
Et6                            up             up                 MLAG_PEER_s1-leaf1_Ethernet6
Lo0                            up             up                 EVPN_Overlay_Peering
Lo1                            up             up                 VTEP_VXLAN_Tunnel_Source
Lo100                          up             up                 bluevrf_VTEP_DIAGNOSTICS
Ma0                            up             up                 oob_management
Po1                            up             up                 MLAG_PEER_s1-leaf1_Po1
Vl1199                         up             up                 
Vl2300                         up             up                 bluenet1
Vl2301                         up             up                 bluenet2
Vl3099                         up             up                 MLAG_PEER_L3_iBGP: vrf bluevrf
Vl4093                         up             up                 MLAG_PEER_L3_PEERING
Vl4094                         up             up                 MLAG_PEER
Vx1                            up             up                 s1-leaf2_VTEP
